,PAREJA,Nombre y Apellido,Nombre y Apellido,"Jimena
Hoffner",Silvina Valz,"Gaston
Torelli","Martin
Ojeda",Laura Melo,"Graciela
Gonzalez","Aoniken
Quiroga","Paola
Tachetti","Facundo de
la Cruz",Stella Baez,"Agustin
Agnez","Magdalena
Gutierrez",Lucas Paez,"Roberto
Zuccarino",Analia Vega,"Dante
Sanchez",Carlos Stasi,"Mariana
Dragone","Monica
Matera",Noelia Barsi,PROMEDIO
139,288,Walter Alberto Bergalo,Montserrat Ruiz,,,,,,7.500,6.650,6.850,6.950,7.400,,,,,,6.000,6.000,7.500,7.950,7.650,7.045
140,718,Cristian Quevedo,Mariel Quintana Grasso,7,6.4,7.4,6.29,6.3,,,,,,7.6,7.49,7.45,7.2,7.3,,,,,,7.043
141,40,Luis Dirassar,Patricia Vazquez,,,,,,7.5,6.85,6.4,6.95,7.65,,,,,,6.5,7.6,7.2,7.65,6.1,7.040
142,49,Ezequiel Gomez,Jane Lee,,,,,,6.95,7.2,7.05,6.95,6.7,,,,,,6.95,7.6,7.1,7.1,6.8,7.040
143,92,Andrés Rojas,Mayela Aponte,7.000,6.950,7.200,5.900,6.950,,,,,,7.800,7.100,7.500,7.100,6.900,,,,,,7.040
144,596,Vicente Albarengo,Jessica Estigarribia,6.750,7.050,7.110,6.370,6.950,,,,,,6.990,7.410,7.470,7.300,7.000,,,,,,7.040
145,503,Santiago Salazar Botero,Alejandra Ospina Marin,,,,,,6.700,6.750,7.250,7.200,6.800,,,,,,7.350,7.300,7.300,7.050,6.700,7.040
146,46,Jesus Paez,Iara Duarte,7.000,6.800,7.350,6.020,7.000,,,,,,7.500,7.350,7.550,7.600,6.200,,,,,,7.037
147,137,Miguel Santillan,Mailen Oucharick,7.000,6.900,7.300,5.970,6.900,,,,,,6.900,7.390,7.090,7.400,7.500,,,,,,7.035
148,314,Sergei Kurkatov,Ksenia Rubina,8.000,6.900,7.120,5.920,5.810,,,,,,7.800,7.400,7.800,6.800,6.800,,,,,,7.035
149,318,Eduardo César Román,Iara Deluchi,,,,,,7.700,6.450,6.700,7.000,6.850,,,,,,7.200,7.300,7.250,6.900,7.000,7.035
150,21,Luis Emilio Cappelletti,Vittoria Franchina,,,,,,6.700,6.250,6.900,6.900,7.000,,,,,,7.300,7.900,7.150,6.800,7.400,7.030
151,223,Pablo David Altamira,Virginia Cosci,,,,,,6.500,7.000,7.150,7.200,7.300,,,,,,6.500,7.000,7.150,6.800,7.700,7.030
152,559,Elias Martínez,Romina Oropel,,,,,,7.500,6.650,7.150,7.250,6.650,,,,,,6.750,6.300,7.300,7.000,7.750,7.030
